"","YEAR","SITE","ZONE","Functional_Group","N","MEAN","SD","SE"
"1",2016,"Cape Alava",5,"Brown Algae",6,0.0388888888888889,0.473560196025024,0.193330140458948
"2",2016,"Cape Alava",5,"Diatom Layer",6,0,0,0
"3",2016,"Cape Alava",5,"Eelgrass_Surfgrass",6,0,0,0
"4",2016,"Cape Alava",5,"Encrusting Species",6,0.161111111111111,0.900514256370173,0.36763340570146
"5",2016,"Cape Alava",5,"Green algae",6,0,0,0
"6",2016,"Cape Alava",5,"Mobile Invertebrate",6,0,0,0
"7",2016,"Cape Alava",5,"Non-living Substrate",6,0.0666666666666667,0.611010092660779,0.249443825784929
"8",2016,"Cape Alava",5,"Non-mobile Invertebrate",6,0.0388888888888889,0.473560196025024,0.193330140458948
"9",2016,"Cape Alava",5,"Red Algae",6,0.694444444444444,1.12833866731055,0.460642331993806
"10",2016,"Cape Alava",10,"Brown Algae",6,0.0333333333333333,0.439696865275764,0.17950549357115
"11",2016,"Cape Alava",10,"Diatom Layer",6,0.0166666666666667,0.313581462037113,0.12801909579781
"12",2016,"Cape Alava",10,"Eelgrass_Surfgrass",6,0,0,0
"13",2016,"Cape Alava",10,"Encrusting Species",6,0.183333333333333,0.947804480540862,0.386939558874797
"14",2016,"Cape Alava",10,"Green algae",6,0,0,0
"15",2016,"Cape Alava",10,"Mobile Invertebrate",6,0,0,0
"16",2016,"Cape Alava",10,"Non-living Substrate",6,0.122222222222222,0.802311475490475,0.327542288288526
"17",2016,"Cape Alava",10,"Non-mobile Invertebrate",6,0.0166666666666667,0.313581462037113,0.12801909579781
"18",2016,"Cape Alava",10,"Red Algae",6,0.627777777777778,1.18407644898336,0.483397186075977
"19",2016,"Cape Johnson",5,"Brown Algae",6,0.122222222222222,0.802311475490475,0.327542288288526
"20",2016,"Cape Johnson",5,"Diatom Layer",6,0,0,0
"21",2016,"Cape Johnson",5,"Eelgrass_Surfgrass",6,0,0,0
"22",2016,"Cape Johnson",5,"Encrusting Species",6,0.222222222222222,1.01835015443463,0.415739709641549
"23",2016,"Cape Johnson",5,"Green algae",6,0,0,0
"24",2016,"Cape Johnson",5,"Mobile Invertebrate",6,0,0,0
"25",2016,"Cape Johnson",5,"Non-living Substrate",6,0,0,0
"26",2016,"Cape Johnson",5,"Non-mobile Invertebrate",6,0.0166666666666667,0.313581462037113,0.12801909579781
"27",2016,"Cape Johnson",5,"Red Algae",6,0.638888888888889,1.1765454769193,0.480322679605294
"28",2016,"Cape Johnson",10,"Brown Algae",6,0.0053763440860215,0.179121841386642,0.0731261855308357
