"","Species","Density"
"1","Pterygophora californica",1.14509574119921
"2","Nereocystis luetkeana",0.899742634292731
"3","Macrocystis pyrifera",0.579281501580915
"4","Laminaria setchellii",0.137410658713552
"5","Pleurophycus gardneri",0.0934595034595035
"6","Saccharina dentigera",0.0902432187564291
"7","Desmarestia",0.0684456334018936
"8","Costaria costata",0.0605008591736312
"9","Saccharina latissima",0.0464066016989471
"10","Egregia menziesii",0.0131689779147406
"11","Alaria marginats",0.0105367231638418
"12","Cymathere triplicata",0.00288135593220339
"13","Agarum fimbriatum",0.0027683615819209
"14","None",0
