Site_id,Region,Name,Ole Distance (mi),Lat,Long,Segment_ID,Simplified shore position (m),Simplified Distance (m)
1,Quinault,Point Grenville,0,47.304057,-124.279782,392,3920,0
2,Quinault,Willoughby Rock,8.4,47.41081,-124.353801,1691,16910,12990
3,Quinault,Hogsback,11.05,47.44498,-124.343301,2051,20510,16590
4,Quinault,South Raft River,12.35,47.462743,-124.34664,2247,22470,18550
5,Quinault,South Beach,19.75,47.567587,-124.365137,3422,34220,30300
6,Destruction Island,Kalaloch,22.32,47.602678,-124.379039,3825,38250,34330
7,Destruction Island,Kalaloch and Browns Point,23.5,47.621044,-124.383344,4032,40320,36400
8,Destruction Island,Browns Point,24.46,47.633564,-124.385955,4172,41720,37800
9,Destruction Island,North Brown Point,25,47.638797,-124.388176,4232,42320,38400
10,Destruction Island,North Steamboat Creek,27.76,47.67848,-124.408529,4694,46940,43020
11,Destruction Island,Destruction Island,28.6,47.678728,-124.478884,4786,47860,43940
12,Destruction Island,Ruby Beach,29.97,47.713573,-124.422276,5099,50990,47070
13,Destruction Island,Hoh River Mouth,32.9,47.746878,-124.435233,5482,54820,50900
14,Destruction Island,Diamond Rock,33.75,47.754159,-124.453398,5641,56410,52490
15,Destruction Island,North Rock,34,47.749045,-124.47575,5753,57530,53610
16,Destruction Island,Hoh Head,36,47.768254,-124.481574,5899,58990,55070
17,Destruction Island,North Hoh Head,36.1,47.774723,-124.477588,5954,59540,55620
18,Destruction Island,Perkins Reef,37,47.773243,-124.504764,6018,60180,56260
19,Destruction Island,Alexander Island,38.5,47.798315,-124.50508,6276,62760,58840
20,Destruction Island,Goodman Creek,40.8,47.821802,-124.511483,6536,65360,61440
21,Destruction Island,Quilleute Needles,41,47.819511,-124.511702,6513,65130,61210
22,Teahwhit Head,Toleak/Strawberry,43.9,47.837537,-124.544857,6841,68410,64490
23,Teahwhit Head,Giants Graveyard,51.2,47.852032,-124.565847,7062,70620,66700
24,Teahwhit Head,James Island,53.03,47.907717,-124.652485,8006,80060,76140
25,Cape Johnson,Rialto Beach,54.8,47.919184,-124.643961,8112,81120,77200
26,Cape Johnson,Chilean Memorial,58.8,47.962308,-124.668017,8620,86200,82280
27,Cape Johnson,Cape Johnson,59.3,47.967981,-124.679691,8709,87090,83170
28,Cape Johnson,Bluff Point,59.7,47.990961,-124.678803,8962,89620,85700
29,Cape Johnson,North of Cape Johnson,59.8,47.974344,-124.676977,8776,87760,83840
30,Cape Johnson,Cedar Creek,60.1,48.018371,-124.685935,9271,92710,88790
31,Cape Johnson,Sandy Island,60.9,47.988369,-124.688224,8942,89420,85500
32,Cape Johnson,Sandy & Jagged Island,61.3,47.993138,-124.686751,8993,89930,86010
33,Cape Johnson,Kayostla Beach,61.4,48.023525,-124.684316,9326,93260,89340
34,Cape Johnson,Jagged Island,61.7,47.997531,-124.689709,9045,90450,86530
35,Cape Johnson,Cedar Creek - Norwegian Memorial,63.6,48.027956,-124.687116,9378,93780,89860
36,Cape Johnson,Carroll Island,64,48.029725,-124.701252,9411,94110,90190
37,Cape Alava,Yellow Banks,68.8,48.099616,-124.696331,10174,101740,97820
38,Cape Alava,North Point,69.7,48.104171,-124.694463,10222,102220,98300
39,Cape Alava,Sand Point,71.45,48.125686,-124.71765,10496,104960,101040
40,Cape Alava,Submarine Rock,72.1,48.126192,-124.731351,10538,105380,101460
41,Cape Alava,White Rocks,72.4,48.135191,-124.731576,10632,106320,102400
42,Cape Alava,Wedding Rocks,73.7,48.148867,-124.726989,10762,107620,103700
43,Cape Alava,Ozette Island,74.6,48.157807,-124.745172,10903,109030,105110
44,Cape Alava,Cape Alava,76.9,48.174511,-124.749743,11003,110030,106110
45,Cape Alava,Umatilla Reef,77,48.18417,-124.783081,11003,110030,106110
46,Cape Alava,Ozette River,79.15,48.185376,-124.712199,11233,112330,108410
47,Point of the Arches,Duk Point,81,48.209124,-124.700218,11505,115050,111130
48,Point of the Arches,Father and Son,82.2,48.226718,-124.712218,11690,116900,112980
49,Point of the Arches,Point of the Arches,84.1,48.252334,-124.712331,11968,119680,115760
50,Point of the Arches,Shi Shi Beach,86.5,48.278504,-124.686796,12293,122930,119010
51,Anderson Point,Portage Head,87.2,48.288253,-124.688422,12397,123970,120050
52,Anderson Point,Anderson Point,87.9,48.297627,-124.684078,12505,125050,121130
53,Anderson Point,North Anderson Point,88.1,48.302486,-124.683461,12559,125590,121670
54,Anderson Point,Bahobohosh Point,90.2,48.320663,-124.673232,12789,127890,123970
55,Anderson Point,Waatch Point,92.4,48.335939,-124.687403,12989,129890,125970
56,Tatoosh Island,Archawat Creek,94.5,48.358666,-124.710707,13300,133000,129080
57,Tatoosh Island,Fuca Pillar,96.4,48.378303,-124.7323,13572,135720,131800
58,Tatoosh Island,Tatoosh Island,97.4,48.393911,-124.732941,13678,136780,132860
59,Tatoosh Island,Mushroom Rock,99.5,48.390252,-124.71475,13772,137720,133800
60,Chibadehl Rock,Slant Rock,100.4,48.391745,-124.695898,13913,139130,135210
61,Chibadehl Rock,Midway Point,101,48.392421,-124.677115,14053,140530,136610
62,Chibadehl Rock,Midway Beach,101.6,48.390453,-124.669627,14108,141080,137160
63,Neah Bay,Waadah Island,105.4,48.3857,-124.602571,14597,145970,142050
64,East Juan De Fuca,Pillar Point,133.25,48.217754,-124.101711,18796,187960,184040
