SITE,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,n.quad,urchins.n.per.m2,urchins.n.per.m2.sd,sea.cucs.n.per.m2,sea.cucs.n.per.m2.sd,crabs.n.per.m2,crabs.n.per.m2.sd,chitons.n.per.m2,chitons.n.per.m2.sd,scallops.n.per.m2,scallops.n.per.m2.sd,nudis.n.per.m2,nudis.n.per.m2.sd,limpets.n.per.m2,limpets.n.per.m2.sd,gastropod.n.per.m2,gastropod.n.per.m2.sd,seastar.DI.n.per.m2.mean,seastar.Et.n.per.m2.mean,seastar.Hl.n.per.m2.mean,seastar.Lh.n.per.m2.mean,seastar.Ok.n.per.m2.mean,seastar.Ph.n.per.m2.mean,seastar.Po.n.per.m2.mean,seastar.Sod.n.per.m2.mean,seastar.Ss.n.per.m2.mean,seastar.DI.n.per.m2.sd,seastar.Et.n.per.m2.sd,seastar.Hl.n.per.m2.sd,seastar.Lh.n.per.m2.sd,seastar.Ok.n.per.m2.sd,seastar.Ph.n.per.m2.sd,seastar.Po.n.per.m2.sd,seastar.Sod.n.per.m2.sd,seastar.Ss.n.per.m2.sd
Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.143,124,37.877,6,16,0.5,2,0,0,0,0,0.25,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Makah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,19.061,124,40.307,6,36,0,0,0,0,0.11,0.67,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Anderson Pt.,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,18.387,124,40.307,6,32,0,0,0.38,1.56,0,0,0,0,0,0,0.13,0.71,,,,,,,,,,,,,,,,,,,,,,
Pt. of the Arches,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,4.5-6,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Alava,1995,Quadrat,"Kvitek 1999, Appx B1-95",,,,,3-4.5,35,0,0,0.23,0.94,0.11,0.68,0,0,0.11,0.68,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Johnson,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,58.385,124,41.037,4.5-6,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Rock #305,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,57.026,124,40.201,6,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Teawhit Head,1995,Quadrat,"Kvitek 1999, Appx B1-95",47,52.16,124,36.324,6-horiz,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,6-slope,14,0.13,0.73,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,12,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
