"YEAR","SITE","SIDE","ZONE","TRANSECT","CATEGORY","CLASSCODE","count","transect_id"
2016,"Cape Alava","1",5,1,"COVER","BARSAN",3,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"COVER","BRANCH",19,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"COVER","BRYO",1,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"COVER","CRUCOR",5,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"COVER","SPONGE",2,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"RELIEF","10cm-1m",30,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"SUBSTRATE","BEDRK",1,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"SUBSTRATE","BOULD",15,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,1,"SUBSTRATE","COB",14,"2016_Cape Alava_1_5_1"
2016,"Cape Alava","1",5,2,"COVER","ARTCOR",1,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"COVER","BARSAN",3,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"COVER","BRANCH",20,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"COVER","BROWNUN",1,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"COVER","CRUCOR",4,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"COVER","LAMHOLD",1,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"RELIEF","10cm-1m",30,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"SUBSTRATE","BEDRK",5,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"SUBSTRATE","BOULD",16,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,2,"SUBSTRATE","COB",9,"2016_Cape Alava_1_5_2"
2016,"Cape Alava","1",5,3,"COVER","BARSAN",4,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"COVER","BRANCH",19,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"COVER","CRUCOR",3,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"COVER","CUPCOR",1,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"COVER","PTERO",2,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"COVER","SPONGE",1,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"RELIEF","0-10cm",5,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"RELIEF","10cm-1m",19,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"RELIEF","1m-2m",6,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"SUBSTRATE","BEDRK",5,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"SUBSTRATE","BOULD",19,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,3,"SUBSTRATE","COB",6,"2016_Cape Alava_1_5_3"
2016,"Cape Alava","1",5,4,"COVER","BRANCH",22,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"COVER","BROWNUN",1,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"COVER","CRUCOR",6,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"COVER","PTERO",1,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"RELIEF","10cm-1m",29,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"RELIEF",">2m",1,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"SUBSTRATE","BOULD",26,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,4,"SUBSTRATE","COB",4,"2016_Cape Alava_1_5_4"
2016,"Cape Alava","1",5,5,"COVER","BARSAN",2,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,5,"COVER","BRANCH",23,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,5,"COVER","CRUCOR",5,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,5,"RELIEF","10cm-1m",30,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,5,"SUBSTRATE","BOULD",23,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,5,"SUBSTRATE","COB",7,"2016_Cape Alava_1_5_5"
2016,"Cape Alava","1",5,6,"COVER","ARTCOR",2,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"COVER","BRANCH",22,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"COVER","BRYO",1,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"COVER","CRUCOR",3,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"COVER","NEREO_HF",1,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"COVER","SPONGE",1,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"RELIEF","10cm-1m",30,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"SUBSTRATE","BEDRK",6,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"SUBSTRATE","BOULD",19,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",5,6,"SUBSTRATE","COB",5,"2016_Cape Alava_1_5_6"
2016,"Cape Alava","1",10,1,"COVER","BARSAN",1,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"COVER","BRANCH",19,"2016_Cape Alava_1_10_1"
2016,"Cape Alava","1",10,1,"COVER","BROWNUN",3,"2016_Cape Alava_1_10_1"
