CRUISE,HAUL_NO,STATION,VESSEL,SURVEY,YEAR,Climatology,NET_IN_TIM,NET_IN_LAT,NET_IN_LON,BOTTOM_DEP,LATITUDE,LONGITUDE,LONG,LATBIN,ALLROCK,Target,Eco,FractionTarget,FractionEco,BROWN_ROCK,AURORA_ROC,REDBANDED,DARKBLOTCH,CALICO_ROC,SPLITNOSE,GREENSTRIP,WIDOW_ROCK,YELLOWTAIL,CHILIPEPPE,SQUARESPOT,SHORTBELLY,COWCOD,BLACK_ROCK,BLACKGILL,VERMILION,BLUE_ROCKF,SPECKLED_R,BOCACCIO,CANARY_ROC,REDSTRIPE,GRASS_ROCK,YELLOWMOUT,YELLOWEYE,BANK_ROCKF,STRIPETAIL,HALFBANDED,OLIVE_ROCK,TREEFISH,PYGMY_ROCK,SHARPCHIN,ROSY_GROUP,COPPER_GRO,PUGET_SOUN,UNIDENTIFI,NearStatio,NearTrawl,PsuedoStation,Distance,AREA,lat,Region
PWCC01,1,0,EX,PWCC,2001,0,5/6/01 0:00,4440.580078,12423.24023,86,44.67633464,124.3873372,-124.3873372,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,681,681,19680.06782,Newport,44.5,Newport
PWCC01,2,0,EX,PWCC,2001,0,5/6/01 0:00,4439.439941,12433.46973,164,44.65733236,124.5578288,-124.5578288,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,683,683,17546.10495,Newport,44.5,Newport
PWCC01,3,0,EX,PWCC,2001,0,5/6/01 0:00,4439.799805,12438.29004,292,44.66333008,124.6381673,-124.6381673,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,683,683,18425.26566,Newport,44.5,Newport
PWCC01,4,0,EX,PWCC,2001,0,5/6/01 0:00,4440.370117,12448.4502,364,44.67283529,124.8075033,-124.8075033,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,685,685,19150.91046,Newport,44.5,Newport
PWCC01,5,0,EX,PWCC,2001,0,5/6/01 0:00,4400.339844,12459.83984,920,44.00566406,124.9973307,-124.9973307,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,4667.240987,Heceta Head,44,Heceta
PWCC01,6,0,EX,PWCC,2001,0,5/6/01 0:00,4359.879883,12458.03027,547,43.99799805,124.9671712,-124.9671712,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,2203.265897,Heceta Head,44,Heceta
PWCC01,7,0,EX,PWCC,2001,0,5/6/01 0:00,4400.359863,12457.50977,419,44.00599772,124.9584961,-124.9584961,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,1632.624461,Heceta Head,44,Heceta
PWCC01,8,0,EX,PWCC,2001,0,5/6/01 0:00,4400.040039,12456.83984,246,44.00066732,124.9473307,-124.9473307,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,595.9985812,Heceta Head,44,Heceta
PWCC01,9,0,EX,PWCC,2001,0,5/6/01 0:00,4400.950195,12455.67969,182,44.01583659,124.9279948,-124.9279948,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,1999.505937,Heceta Head,44,Heceta
PWCC01,10,0,EX,PWCC,2001,0,5/7/01 0:00,4359.930176,12454.57031,102,43.99883626,124.9095052,-124.9095052,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,674,674,2463.62218,Heceta Head,44,Heceta
