"Table 1.  Results of the July 2005 and 2006 sea otter surveys in Washington State."
,2006,,,2005,
,"INDEPENDENT","PUPS","TOTAL","INDEPENDENT","PUPS","TOTAL"
"KALALOCH/BROWNS PT.",1,0,1,14,0,14
"DESTRUCTION I.1",298,4,302,303,4,307
"HOH RIVER MOUTH",0,0,0,3,0,3
"DIAMOND ROCK2",22,0,22,68,1,69
"HOH HEAD",2,0,2,1,0,1
"PERKINS REEF (ROCK 443)1,2",65,0,65,19,0,19
"GOODMAN CREEK",8,1,9,0,0,0
"TOLEAK/STRAWBERRY PT.",2,0,2,0,0,0
"GIANTS GRAVEYARD",76,5,81,22,0,22
"QUILLLAYUTE NEEDLES",1,0,1,2,0,2
"S. CAPE JOHNSON/CHILEAN MEMORIAL",7,0,7,5,0,5
"CAPE JOHNSON/BLUFF PT.*1,2",76,0,76,103,1,104
"SANDY I.",11,0,11,3,1,4
"CEDAR CREEK",51,2,53,29,3,32
"NORTH KAYOSTLA BEACH",1,0,1,1,1,2
"YELLOW BANKS AREA1",29,1,30,28,3,31
"SAND PT.*",4,2,6,19,3,22
"INSHORE WHITE ROCK /WEDDING ROCKS",3,0,3,6,4,10
"SOUTH END OZETTE ISLAND",6,0,6,13,0,13
"OZETTE/CAPE ALAVA/BODELTEH*1",47,4,51,47,14,61
"OZETTE RIVER",31,3,34,0,0,0
"DUK PT.*",2,0,2,21,6,27
"FATHER AND SON*",18,5,23,28,9,37
"ANDERSON PT.",1,0,1,22,3,25
"BAHOBOHOSH PT.",0,0,0,2,0,2
"WAATCH PT.",0,0,0,2,0,2
"TATOOSH ISLAND",1,0,1,0,0,0
"TOTALS",763,27,790,761,53,814
"1 Includes count from aerial photograph.",,,,,,
