"","spp","Density","SD"
"1","Pterygophora californica",1.30645739449476,1.56167986349672
"2","Macrocystis pyrifera",0.682405640435265,1.45569361933638
"3","Nerocystis leutkeana",0.673058475988975,1.12741838841717
"4","Laminaria setchellii",0.169730215916519,0.459441279485253
"5","Pleurophycus gardneri",0.148230953021232,0.505243064923877
"6","Saccharina groenlandica",0.127408385557926,0.371485438150131
"7","Saccharina latissima",0.0725700391306787,0.232052911379006
"8","Costaria costatum",0.0714199075847821,0.217618084464733
"9","Desmerestia spp.",0.0518957991762651,0.147609115513295
"10","Alaria marginata",0.0199985655320488,0.206509407973042
"11","Egregia menziesii",0.00625956535047444,0.0937800563914067
"12","dead Peterophora",0.00518578643578644,0.0193513515103823
"13","Cymathere tripicata",0.00333894500561167,0.0240008673816055
"14","Agarum fibriatum",0.000140291806958474,0.00199213831842224
"15","No kelp",0,0
