"year","site","complex","Mean","VAR","SD","N","SE"
2016,"Destruction Island","CQB",0,0,0,12,0
2016,"Destruction Island","RYOY",0,0,0,6,0
2016,"Destruction Island","SEMY",0,0,0,6,0
2016,"Destruction Island","SENE",0,0,0,6,0
2016,"Destruction Island","SEPI",0,0,0,6,0
2016,"Destruction Island","YTB",25,1444.23529411765,38.0030958491232,18,8.95741559366579
2016,"Cape Johnson","CQB",0,0,0,40,0
2016,"Cape Johnson","RYOY",0,0,0,20,0
2016,"Cape Johnson","SEMY",0.1,0.0947368421052632,0.307793505625546,20,0.0688247201611685
2016,"Cape Johnson","SENE",0,0,0,20,0
2016,"Cape Johnson","SEPI",0,0,0,20,0
2016,"Cape Johnson","YTB",4.88461538461539,63.3981900452489,7.96229803795668,52,1.10417207101458
2016,"Cape Alava","CQB",0,0,0,48,0
2016,"Cape Alava","RYOY",0,0,0,24,0
2016,"Cape Alava","SEMY",0.25,0.369565217391304,0.607918758874329,24,0.124090897025679
2016,"Cape Alava","SENE",0,0,0,24,0
2016,"Cape Alava","SEPI",0.333333333333333,0.753623188405797,0.868114732282431,24,0.177203177690398
2016,"Cape Alava","YTB",17.7586206896552,1015.20387174834,31.8622640712856,58,4.18372023803501
2016,"Tatoosh Island","CQB",0,0,0,32,0
2016,"Tatoosh Island","RYOY",0.111111111111111,0.104575163398693,0.323380833381777,18,0.0762215933966706
2016,"Tatoosh Island","SEMY",0.625,1.85,1.36014705087354,16,0.340036762718386
2016,"Tatoosh Island","SENE",0,0,0,16,0
2016,"Tatoosh Island","SEPI",0,0,0,16,0
2016,"Tatoosh Island","YTB",34.45,2513.99743589744,50.1397789773493,40,7.92779514729259
2016,"Neah Bay","CQB",0,0,0,40,0
2016,"Neah Bay","RYOY",0,0,0,20,0
2016,"Neah Bay","SEMY",0,0,0,20,0
2016,"Neah Bay","SENE",0,0,0,20,0
2016,"Neah Bay","SEPI",0.6,2.35789473684211,1.53554379189983,20,0.343358030111581
2016,"Neah Bay","YTB",41.3461538461538,5952.15233785822,77.150193375378,52,10.6988068510341
2017,"Destruction Island","CQB",0,0,0,16,0
2017,"Destruction Island","RYOY",0.5,0.636363636363636,0.797724035217466,12,0.230283093235919
2017,"Destruction Island","SEMY",0,0,0,8,0
2017,"Destruction Island","SENE",0,0,0,8,0
2017,"Destruction Island","SEPI",0,0,0,8,0
2017,"Destruction Island","YTB",0.111111111111111,0.104575163398693,0.323380833381777,18,0.0762215933966706
2017,"Cape Johnson","CQB",0,0,0,36,0
2017,"Cape Johnson","RYOY",0.181818181818182,0.155844155844156,0.394771016975861,22,0.0841654636156865
2017,"Cape Johnson","SEMY",0,0,0,18,0
2017,"Cape Johnson","SENE",0,0,0,18,0
2017,"Cape Johnson","SEPI",0,0,0,18,0
2017,"Cape Johnson","YTB",0.0555555555555556,0.053968253968254,0.232310684145723,36,0.0387184473576205
2017,"Cape Alava","CQB",0,0,0,72,0
2017,"Cape Alava","RYOY",0.157894736842105,0.460881934566145,0.678882857764243,38,0.110129341967829
2017,"Cape Alava","SEMY",0,0,0,36,0
2017,"Cape Alava","SENE",0,0,0,36,0
2017,"Cape Alava","SEPI",0,0,0,36,0
2017,"Cape Alava","YTB",0.175,0.24746835443038,0.497461912542437,80,0.0556179326330973
2017,"Tatoosh Island","CQB",0,0,0,52,0
2017,"Tatoosh Island","RYOY",0,0,0,26,0
2017,"Tatoosh Island","SEMY",0,0,0,26,0
2017,"Tatoosh Island","SENE",0,0,0,26,0
2017,"Tatoosh Island","SEPI",0,0,0,26,0
2017,"Tatoosh Island","YTB",6.96774193548387,694.589106292967,26.3550584573999,62,3.34709577118723
2017,"Neah Bay","CQB",0,0,0,64,0
2017,"Neah Bay","RYOY",0.222222222222222,0.520634920634921,0.721550359042888,36,0.120258393173815
2017,"Neah Bay","SEMY",0,0,0,32,0
2017,"Neah Bay","SENE",0,0,0,32,0
2017,"Neah Bay","SEPI",0,0,0,32,0
2017,"Neah Bay","YTB",0.235294117647059,0.600526777875329,0.774936628296359,68,0.0939748697537029
2018,"Cape Johnson","CQB",0,0,0,28,0
2018,"Cape Johnson","RYOY",0.125,0.116666666666667,0.341565025531987,16,0.0853912563829966
2018,"Cape Johnson","SEMY",0,0,0,14,0
2018,"Cape Johnson","SENE",0,0,0,14,0
2018,"Cape Johnson","SEPI",0.142857142857143,0.131868131868132,0.363136519601281,14,0.0970523172123939
2018,"Cape Johnson","YTB",0.0714285714285714,0.0687830687830688,0.262265264156481,28,0.0495634761777651
2018,"Cape Alava","CQB",0,0,0,64,0
2018,"Cape Alava","RYOY",0.842105263157895,4.13655761024182,2.03385289788662,38,0.329934507466088
2018,"Cape Alava","SEMY",0,0,0,32,0
2018,"Cape Alava","SENE",0,0,0,32,0
2018,"Cape Alava","SEPI",0.3125,0.995967741935484,0.997981834471692,32,0.176419930663981
2018,"Cape Alava","YTB",0.0909090909090909,0.268531468531469,0.518200220505037,66,0.0637860377677839
2018,"Tatoosh Island","CQB",0,0,0,60,0
2018,"Tatoosh Island","RYOY",0,0,0,30,0
2018,"Tatoosh Island","SEMY",0,0,0,30,0
2018,"Tatoosh Island","SENE",0,0,0,30,0
2018,"Tatoosh Island","SEPI",0.333333333333333,1.05747126436782,1.02833421822276,30,0.187747282658349
2018,"Tatoosh Island","YTB",0,0,0,60,0
2018,"Neah Bay","CQB",0,0,0,60,0
2018,"Neah Bay","RYOY",0,0,0,30,0
2018,"Neah Bay","SEMY",0,0,0,30,0
2018,"Neah Bay","SENE",0,0,0,30,0
2018,"Neah Bay","SEPI",0.933333333333333,3.09885057471264,1.76035524105581,30,0.321395424916236
2018,"Neah Bay","YTB",0,0,0,60,0
2019,"Destruction Island","CQB",1,19.7460317460317,4.44365072277646,64,0.555456340347057
2019,"Destruction Island","RYOY",0.235294117647059,0.912655971479501,0.955330294442451,34,0.163837793840657
2019,"Destruction Island","SEMY",0.625,6.04838709677419,2.45934688418982,32,0.434755214775158
2019,"Destruction Island","SENE",0,0,0,32,0
2019,"Destruction Island","SEPI",0,0,0,32,0
2019,"Destruction Island","YTB",1.58536585365854,22.1222523336344,4.70342984784874,82,0.51940693588392
2019,"Cape Johnson","CQB",0.866666666666667,8.52429378531073,2.91963932452465,60,0.376923816027208
2019,"Cape Johnson","RYOY",3,142.30303030303,11.9290833806722,34,2.0458209218323
2019,"Cape Johnson","SEMY",0,0,0,30,0
2019,"Cape Johnson","SENE",0,0,0,30,0
2019,"Cape Johnson","SEPI",0,0,0,30,0
2019,"Cape Johnson","YTB",0.763157894736842,2.90315789473684,1.70386557413924,76,0.19544678555397
2019,"Cape Alava","CQB",0.21875,0.554563492063492,0.744690198715877,64,0.0930862748394846
2019,"Cape Alava","RYOY",0,0,0,32,0
2019,"Cape Alava","SEMY",0,0,0,32,0
2019,"Cape Alava","SENE",0,0,0,32,0
2019,"Cape Alava","SEPI",0,0,0,32,0
2019,"Cape Alava","YTB",0,0,0,64,0
