"","SITE","YEAR","CLASSCODE","N","MEAN","SD","SE"
"1","Cape Alava",2016,"0-10cm",12,0.0222222222222222,0.51062779080338,0.147405546238018
"2","Cape Alava",2016,"10cm-1m",12,0.911111111111111,0.985825467236393,0.28458329944146
"3","Cape Alava",2016,"1m-2m",12,0.0555555555555556,0.793492047615872,0.229061423645426
"4","Cape Alava",2016,">2m",12,0.0111111111111111,0.363114103074849,0.104822012578407
"5","Cape Alava",2017,"0-10cm",20,0.0283333333333333,0.742031745352657,0.165923342407136
"6","Cape Alava",2017,"10cm-1m",20,0.628333333333333,2.16115966812059,0.483249992814853
"7","Cape Alava",2017,"1m-2m",20,0.338333333333333,2.11595788657945,0.473142567191844
"8","Cape Alava",2017,">2m",20,0.005,0.31543620591175,0.0705336798983294
"9","Cape Alava",2018,"0-10cm",16,0.0125,0.444409720865779,0.111102430216445
"10","Cape Alava",2018,"10cm-1m",16,0.704166666666667,1.82566578418821,0.456416446047053
"11","Cape Alava",2018,"1m-2m",16,0.28125,1.79843682124227,0.449609205310567
"12","Cape Alava",2018,">2m",16,0.00208333333333333,0.182383905235327,0.0455959763088319
"13","Cape Alava",2019,"0-10cm",16,0.102083333333333,1.21103147036822,0.302757867592056
"14","Cape Alava",2019,"10cm-1m",16,0.68125,1.86396754263587,0.465991885658967
"15","Cape Alava",2019,"1m-2m",16,0.183333333333333,1.54775823549919,0.386939558874797
"16","Cape Alava",2019,">2m",16,0.0333333333333333,0.718021974284601,0.17950549357115
"17","Cape Johnson",2016,"0-10cm",12,0.316666666666667,1.61141759536958,0.465176191231762
"18","Cape Johnson",2016,"10cm-1m",12,0.627777777777778,1.67453697303884,0.483397186075977
"19","Cape Johnson",2016,"1m-2m",12,0.0555555555555556,0.793492047615872,0.229061423645426
"20","Cape Johnson",2016,">2m",12,0,0,0
"21","Cape Johnson",2017,"0-10cm",16,0.916666666666667,1.10554159678513,0.276385399196283
"22","Cape Johnson",2017,"10cm-1m",16,0.0833333333333333,1.10554159678513,0.276385399196283
"23","Cape Johnson",2017,"1m-2m",16,0,0,0
"24","Cape Johnson",2017,">2m",16,0,0,0
"25","Cape Johnson",2018,"0-10cm",15,0.0244444444444444,0.598083358490858,0.154424459138593
"26","Cape Johnson",2018,"10cm-1m",15,0.94,0.919782583005353,0.237486841740758
"27","Cape Johnson",2018,"1m-2m",15,0.0355555555555556,0.717196186806909,0.185179259164441
"28","Cape Johnson",2018,">2m",15,0,0,0
"29","Cape Johnson",2019,"0-10cm",15,0.168888888888889,1.45102773284368,0.37465374961258
"30","Cape Johnson",2019,"10cm-1m",15,0.804444444444444,1.5361327103163,0.396627760307966
"31","Cape Johnson",2019,"1m-2m",15,0.0266666666666667,0.623965811029205,0.161107279647928
"32","Cape Johnson",2019,">2m",15,0,0,0
"33","Destruction Island",2016,"0-10cm",10,0.17,1.18785521003193,0.375632799419859
"34","Destruction Island",2016,"10cm-1m",10,0.243333333333333,1.35691643892401,0.429094654152463
"35","Destruction Island",2016,"1m-2m",10,0.09,0.904986187739901,0.286181760425084
"36","Destruction Island",2016,">2m",10,0.496666666666667,1.58110369327533,0.499988888765429
"37","Destruction Island",2017,"0-10cm",8,0.0166666666666667,0.362092683040007,0.12801909579781
"38","Destruction Island",2017,"10cm-1m",8,0.233333333333333,1.19629056299509,0.422952584681651
"39","Destruction Island",2017,"1m-2m",8,0.2875,1.28013671144921,0.452596674755792
"40","Destruction Island",2017,">2m",8,0.4625,1.41023047761705,0.498591766879478
"41","Destruction Island",2018,"0-10cm",15,0,0,0
"42","Destruction Island",2018,"10cm-1m",15,0.411111111111111,1.90564463672571,0.492035329455212
"43","Destruction Island",2018,"1m-2m",15,0.171111111111111,1.45858886650128,0.3766060259282
"44","Destruction Island",2018,">2m",15,0.417777777777778,1.91012894658779,0.493193173282883
"45","Destruction Island",2019,"0-10cm",16,0.0541666666666667,0.905385123702738,0.226346280925685
"46","Destruction Island",2019,"10cm-1m",16,0.4625,1.99436706751791,0.498591766879478
"47","Destruction Island",2019,"1m-2m",16,0.3125,1.85404962177392,0.463512405443479
"48","Destruction Island",2019,">2m",16,0.170833333333333,1.50545305104108,0.376363262760269
"49","Neah Bay",2016,"0-10cm",10,0.55,1.57321327225523,0.49749371855331
"50","Neah Bay",2016,"10cm-1m",10,0.383333333333333,1.53749435409984,0.486198404860494
"51","Neah Bay",2016,"1m-2m",10,0.0666666666666667,0.788810637746616,0.249443825784929
"52","Neah Bay",2016,">2m",10,0,0,0
"53","Neah Bay",2017,"0-10cm",16,0.154166666666667,1.44443376064425,0.361108440161062
"54","Neah Bay",2017,"10cm-1m",16,0.695833333333333,1.84021435949427,0.460053589873566
"55","Neah Bay",2017,"1m-2m",16,0.141666666666667,1.39483173019385,0.348707932548461
"56","Neah Bay",2017,">2m",16,0.00833333333333333,0.363623737154524,0.0909059342886309
"57","Neah Bay",2018,"0-10cm",15,0.12,1.25857061780418,0.324961536185438
"58","Neah Bay",2018,"10cm-1m",15,0.793333333333333,1.56822617416409,0.404914257041606
"59","Neah Bay",2018,"1m-2m",15,0.0822222222222222,1.06392007497083,0.274702982137183
"60","Neah Bay",2018,">2m",15,0.00444444444444444,0.257624475487812,0.0665183535426478
"61","Neah Bay",2019,"0-10cm",15,0.321433691756272,1.80878719129783,0.467026844581986
"62","Neah Bay",2019,"10cm-1m",15,0.656702508960573,1.8389303562892,0.474809776316223
"63","Neah Bay",2019,"1m-2m",15,0.0175627240143369,0.508737772426028,0.131355528012844
"64","Neah Bay",2019,">2m",15,0.0043010752688172,0.25345342827675,0.0654413937836685
"65","Tatoosh Island",2016,"0-10cm",8,0,0,0
"66","Tatoosh Island",2016,"10cm-1m",8,0.220833333333333,1.17325520573223,0.414808356017839
"67","Tatoosh Island",2016,"1m-2m",8,0.208333333333333,1.14867072934085,0.406116431033707
"68","Tatoosh Island",2016,">2m",8,0.570833333333333,1.39995039594662,0.494957209149325
"69","Tatoosh Island",2017,"0-10cm",13,0.00256410256410256,0.182339966128831,0.0505720074956821
"70","Tatoosh Island",2017,"10cm-1m",13,0.341025641025641,1.7092258456544,0.474053955988864
"71","Tatoosh Island",2017,"1m-2m",13,0.238461538461538,1.53647949246621,0.426142737983524
"72","Tatoosh Island",2017,">2m",13,0.417948717948718,1.77833591665878,0.4932216409625
"73","Tatoosh Island",2018,"0-10cm",15,0.0311111111111111,0.672419622072518,0.17361799986333
"74","Tatoosh Island",2018,"10cm-1m",15,0.682222222222222,1.80330971436576,0.46561256611951
"75","Tatoosh Island",2018,"1m-2m",15,0.264444444444444,1.7081287140329,0.441036937508542
"76","Tatoosh Island",2018,">2m",15,0.0222222222222222,0.57089922571845,0.147405546238018
"77","Tatoosh Island",2019,"0-10cm",14,0.0666666666666667,0.933333333333333,0.249443825784929
"78","Tatoosh Island",2019,"10cm-1m",14,0.288095238095238,1.69450559348419,0.452875669342134
"79","Tatoosh Island",2019,"1m-2m",14,0.235714285714286,1.58812557977726,0.424444414764159
"80","Tatoosh Island",2019,">2m",14,0.40952380952381,1.83994478868167,0.491745929273356
