YEAR,SITE,CLASSCODE,N,MEAN,SD,SE
2016,Destruction Island,BEDRK,10,0.95,0.6892024376045114,0.21794494717703375
2016,Destruction Island,BOULD,10,0.023333333333333334,0.4773770929662303,0.15095989165632337
2016,Destruction Island,COB,10,0.013333333333333334,0.36270588023294514,0.11469767022723501
2016,Destruction Island,SAND,10,0.013333333333333334,0.36270588023294514,0.11469767022723501
2016,Cape Johnson,BEDRK,12,0.22777777777777777,1.4528388557375318,0.419398452224606
2016,Cape Johnson,BOULD,12,0.5277777777777778,1.7293758240303756,0.49922779876698414
2016,Cape Johnson,COB,12,0.21666666666666667,1.427118308573843,0.4119735698102759
2016,Cape Johnson,SAND,12,0.027777777777777776,0.5692750425533111,0.1643355495305449
2016,Cape Alava,BEDRK,12,0.18333333333333332,1.3403979508588733,0.38693955887479664
2016,Cape Alava,BOULD,12,0.5944444444444444,1.7008712364441239,0.49099923310895327
2016,Cape Alava,COB,12,0.1638888888888889,1.28232283448898,0.37017471684010833
2016,Cape Alava,SAND,12,0.058333333333333334,0.8118907972545734,0.23437268517375393
2016,Tatoosh Island,BEDRK,8,0.9958333333333333,0.18219342590896173,0.06441510347391782
2016,Tatoosh Island,BOULD,8,0,0,0
2016,Tatoosh Island,COB,8,0,0,0
2016,Tatoosh Island,SAND,8,0.004166666666666667,0.18219342590896204,0.06441510347391793
2016,Neah Bay,BEDRK,10,0.69,1.4625320509308506,0.46249324319388707
2016,Neah Bay,BOULD,10,0.11,0.9894442884771228,0.3128897569432403
2016,Neah Bay,COB,10,0.016666666666666666,0.4048319267163706,0.12801909579781012
2016,Neah Bay,SAND,10,0.18333333333333332,1.2236103228651767,0.3869395588747966
2017,Destruction Island,BEDRK,8,0.9833333333333333,0.36209268304000775,0.12801909579781032
2017,Destruction Island,BOULD,8,0,0,0
2017,Destruction Island,COB,8,0.0125,0.3142451272494134,0.11110243021644486
2017,Destruction Island,SAND,8,0.004166666666666667,0.18219342590896204,0.06441510347391793
2017,Cape Johnson,BEDRK,16,0.075,1.0535653752852738,0.26339134382131846
2017,Cape Johnson,BOULD,16,0.54375,1.992329039089678,0.4980822597724195
2017,Cape Johnson,COB,16,0.325,1.8734993995195195,0.4683748498798799
2017,Cape Johnson,SAND,16,0.05625,0.9216154295583381,0.23040385738958452
