"YEAR","SITE","SPECIES","COUNT","bin_min","bin_max","bin_range"
2015,"Cape Alava","SEME",35,30,32,"30-32"
2015,"Neah Bay","SEME",3,20,22,"20-22"
2015,"Neah Bay","SEME",2,24,26,"24-26"
2015,"Neah Bay","SEME",1,30,32,"30-32"
2015,"Neah Bay","SEME",1,34,36,"34-36"
2015,"Tatoosh Island","SEME",1,40,42,"40-42"
2016,"Cape Alava","SEME",6,24,26,"24-26"
2016,"Cape Alava","SEME",1,26,28,"26-28"
2016,"Cape Alava","SEME",2,26,28,"26-28"
2016,"Cape Alava","SEME",1,28,30,"28-30"
2016,"Cape Alava","SEME",1,28,30,"28-30"
2016,"Cape Alava","SEME",16,30,32,"30-32"
2016,"Cape Alava","SEME",3,32,34,"32-34"
2016,"Cape Alava","SEME",12,34,36,"34-36"
2016,"Cape Alava","SEME",1,36,38,"36-38"
2016,"Cape Alava","SEME",4,38,40,"38-40"
2016,"Cape Alava","SEME",1,40,42,"40-42"
2016,"Cape Alava","SEME",2,42,44,"42-44"
2016,"Neah Bay","SEME",3,24,26,"24-26"
2016,"Neah Bay","SEME",4,30,32,"30-32"
2016,"Neah Bay","SEME",3,34,36,"34-36"
2016,"Tatoosh Island","SEME",1,22,24,"22-24"
2016,"Tatoosh Island","SEME",1,24,26,"24-26"
2016,"Tatoosh Island","SEME",4,24,26,"24-26"
2016,"Tatoosh Island","SEME",1,26,28,"26-28"
2016,"Tatoosh Island","SEME",11,30,32,"30-32"
2016,"Tatoosh Island","SEME",8,34,36,"34-36"
2017,"Cape Alava","SEME",1,10,12,"10-12"
2017,"Cape Alava","SEME",2,20,22,"20-22"
2017,"Cape Alava","SEME",7,24,26,"24-26"
2017,"Cape Alava","SEME",16,30,32,"30-32"
2017,"Cape Alava","SEME",50,34,36,"34-36"
2017,"Cape Alava","SEME",47,40,42,"40-42"
2017,"Cape Alava","SEME",3,44,46,"44-46"
2017,"Cape Johnson","SEME",1,32,34,"32-34"
2017,"Cape Johnson","SEME",2,32,34,"32-34"
2017,"Cape Johnson","SEME",1,34,36,"34-36"
2017,"Cape Johnson","SEME",2,36,38,"36-38"
2017,"Cape Johnson","SEME",2,42,44,"42-44"
2017,"Destruction Island","SEME",4,24,26,"24-26"
2017,"Destruction Island","SEME",1,30,32,"30-32"
2017,"Destruction Island","SEME",1,34,36,"34-36"
2017,"Neah Bay","SEME",3,10,12,"10-12"
2017,"Neah Bay","SEME",5,24,26,"24-26"
2017,"Neah Bay","SEME",20,30,32,"30-32"
2017,"Neah Bay","SEME",42,34,36,"34-36"
2017,"Neah Bay","SEME",24,40,42,"40-42"
2017,"Neah Bay","SEME",2,44,46,"44-46"
2017,"Tatoosh Island","SEME",3,14,16,"14-16"
2017,"Tatoosh Island","SEME",6,24,26,"24-26"
2017,"Tatoosh Island","SEME",10,30,32,"30-32"
2017,"Tatoosh Island","SEME",19,34,36,"34-36"
2017,"Tatoosh Island","SEME",23,40,42,"40-42"
2017,"Tatoosh Island","SEME",5,44,46,"44-46"
2017,"Tatoosh Island","SEME",4,50,52,"50-52"
2018,"Cape Alava","SEME",24,30,32,"30-32"
2018,"Cape Alava","SEME",4,32,34,"32-34"
2018,"Cape Alava","SEME",7,34,36,"34-36"
2018,"Cape Alava","SEME",51,36,38,"36-38"
